Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
sapdcwq,P,1/1/2021 0:00,0,0,,16.1,<0> ,39.42,<0> ,25.2,<0> ,71.5,<0> ,6.1,<0> ,0.84,<0> ,0.76,<3> ,7.4,<0> ,10,<0> 
sapdcwq,P,1/1/2021 0:15,0,0,,16.1,<0> ,39.33,<0> ,25.1,<0> ,67.7,<0> ,5.7,<0> ,0.72,<0> ,0.64,<3> ,7.4,<0> ,10,<0> 
sapdcwq,P,1/1/2021 0:30,0,0,,16.1,<0> ,39.24,<0> ,25.1,<0> ,64.6,<0> ,5.5,<0> ,0.6,<0> ,0.52,<3> ,7.3,<0> ,10,<0> 
sapdcwq,P,1/1/2021 0:45,0,0,,16.1,<0> ,39.16,<0> ,25,<0> ,62,<0> ,5.2,<0> ,0.48,<0> ,0.41,<3> ,7.3,<0> ,10,<0> 
sapdcwq,P,1/1/2021 1:00,0,0,,16.1,<0> ,39.11,<0> ,25,<0> ,59.6,<0> ,5,<0> ,0.36,<0> ,0.28,<3> ,7.3,<0> ,10,<0> 
sapdcwq,P,1/1/2021 1:15,0,0,,16.1,<0> ,39.06,<0> ,24.9,<0> ,57.1,<0> ,4.8,<0> ,0.24,<0> ,0.16,<3> ,7.3,<0> ,9,<0> 
sapdcwq,P,1/1/2021 1:30,0,0,,16.1,<0> ,39.04,<0> ,24.9,<0> ,53.9,<0> ,4.6,<0> ,0.14,<0> ,0.06,<3> ,7.3,<0> ,9,<0> 
sapdcwq,P,1/1/2021 1:45,0,0,,16.1,<0> ,39.04,<0> ,24.9,<0> ,50,<0> ,4.2,<0> ,0.07,<0> ,-0.01,<3> ,7.2,<0> ,8,<0> 
sapdcwq,P,1/1/2021 2:00,0,0,,16.1,<0> ,38.95,<0> ,24.8,<0> ,48.9,<0> ,4.1,<0> ,0.07,<0> ,-0.01,<3> ,7.2,<0> ,8,<0> 
sapdcwq,P,1/1/2021 2:15,0,0,,16.2,<0> ,38.93,<0> ,24.8,<0> ,46.7,<0> ,4,<0> ,0.07,<0> ,-0.01,<3> ,7.2,<0> ,8,<0> 
sapdcwq,P,1/1/2021 2:30,0,0,,16.3,<0> ,0.04,<0> ,0,<0> ,99.7,<0> ,9.8,<0> ,0.07,<0> ,-0.01,<3> ,7.5,<0> ,12,<0> 
sapdcwq,P,1/1/2021 2:45,0,0,,16.5,<0> ,0.01,<0> ,0,<0> ,99.9,<0> ,9.8,<0> ,0.07,<0> ,-0.01,<3> ,7.7,<0> ,3,<0> 
sapdcwq,P,1/1/2021 3:00,0,0,,16.7,<0> ,0.01,<0> ,0,<0> ,99.9,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.8,<0> ,2,<0> 
sapdcwq,P,1/1/2021 3:15,0,0,,16.6,<0> ,0.01,<0> ,0,<0> ,99.9,<0> ,9.8,<0> ,0.07,<0> ,-0.01,<3> ,7.8,<0> ,2,<0> 
sapdcwq,P,1/1/2021 3:30,0,0,,16.7,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,2,<0> 
sapdcwq,P,1/1/2021 3:45,0,0,,16.9,<0> ,0.01,<0> ,0,<0> ,100.1,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.8,<0> ,2,<0> 
sapdcwq,P,1/1/2021 4:00,0,0,,17,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,0,<0> 
sapdcwq,P,1/1/2021 4:15,0,0,,16.9,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,0,<0> 
sapdcwq,P,1/1/2021 4:30,0,0,,17,<0> ,0.01,<0> ,0,<0> ,100.1,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,0,<0> 
sapdcwq,P,1/1/2021 4:45,0,0,,16.9,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.7,<0> ,0,<0> 
sapdcwq,P,1/1/2021 5:00,0,0,,16.6,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.7,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,1,<0> 
sapdcwq,P,1/1/2021 5:15,0,0,,16.5,<0> ,0.01,<0> ,0,<0> ,100,<0> ,9.8,<0> ,0.07,<0> ,-0.01,<3> ,7.9,<0> ,1,<0> 
sapdcwq,P,1/1/2021 5:30,0,0,,16,<0> ,38.59,<0> ,24.6,<0> ,37.2,<0> ,3.2,<0> ,0.07,<0> ,-0.01,<3> ,7.2,<0> ,10,<0> 
