DateTimeStamp,WTMP,site
1/01/21 00:00:00,12.3,"Duke, NC"
1/01/21 00:06:00,12.3,"Duke, NC"
1/01/21 00:12:00,12.3,"Duke, NC"
1/01/21 00:18:00,12.3,"Duke, NC"
1/01/21 00:24:00,12.3,"Duke, NC"
1/01/21 00:30:00,12.3,"Duke, NC"
1/01/21 00:36:00,12.3,"Duke, NC"
1/01/21 00:42:00,12.3,"Duke, NC"
1/01/21 00:48:00,12.3,"Duke, NC"
1/01/21 00:54:00,12.3,"Duke, NC"
1/01/21 01:00:00,12.3,"Duke, NC"
1/01/21 01:06:00,12.3,"Duke, NC"
1/01/21 01:12:00,12.3,"Duke, NC"
1/01/21 01:18:00,12.3,"Duke, NC"
1/01/21 01:24:00,12.3,"Duke, NC"
1/01/21 01:30:00,12.3,"Duke, NC"
1/01/21 01:36:00,12.3,"Duke, NC"
1/01/21 01:42:00,12.3,"Duke, NC"
1/01/21 01:48:00,12.3,"Duke, NC"
1/01/21 01:54:00,12.3,"Duke, NC"
1/01/21 02:00:00,12.3,"Duke, NC"
1/01/21 02:06:00,12.4,"Duke, NC"
1/01/21 02:12:00,12.4,"Duke, NC"
1/01/21 02:18:00,12.4,"Duke, NC"
1/01/21 02:24:00,12.4,"Duke, NC"
1/01/21 02:30:00,12.4,"Duke, NC"
1/01/21 02:36:00,12.4,"Duke, NC"
1/01/21 02:42:00,12.4,"Duke, NC"
1/01/21 02:48:00,12.4,"Duke, NC"
1/01/21 02:54:00,12.4,"Duke, NC"
1/01/21 03:00:00,12.5,"Duke, NC"
1/01/21 03:06:00,12.5,"Duke, NC"
1/01/21 03:12:00,12.5,"Duke, NC"
1/01/21 03:18:00,12.5,"Duke, NC"
1/01/21 03:24:00,12.5,"Duke, NC"
1/01/21 03:30:00,12.5,"Duke, NC"
1/01/21 03:36:00,12.5,"Duke, NC"
1/01/21 03:42:00,12.5,"Duke, NC"
1/01/21 03:48:00,12.5,"Duke, NC"
1/01/21 03:54:00,12.5,"Duke, NC"
1/01/21 04:00:00,12.5,"Duke, NC"
1/01/21 04:06:00,12.5,"Duke, NC"
1/01/21 04:12:00,12.5,"Duke, NC"
1/01/21 04:18:00,12.5,"Duke, NC"
1/01/21 04:24:00,12.5,"Duke, NC"
1/01/21 04:30:00,12.5,"Duke, NC"
1/01/21 04:36:00,12.5,"Duke, NC"
1/01/21 04:42:00,12.5,"Duke, NC"
1/01/21 04:48:00,12.5,"Duke, NC"
1/01/21 04:54:00,12.5,"Duke, NC"
1/01/21 05:00:00,12.5,"Duke, NC"
1/01/21 05:06:00,12.5,"Duke, NC"
1/01/21 05:12:00,12.5,"Duke, NC"
1/01/21 05:18:00,12.5,"Duke, NC"
1/01/21 05:24:00,12.5,"Duke, NC"
1/01/21 05:30:00,12.5,"Duke, NC"
1/01/21 05:36:00,12.5,"Duke, NC"
1/01/21 05:42:00,12.5,"Duke, NC"
1/01/21 05:48:00,12.5,"Duke, NC"
