DateTimeStamp,WTMP,site
1/1/2018 0:00,-0.134,Jackson
1/1/2018 0:15,-0.137,Jackson
1/1/2018 0:30,-0.212,Jackson
1/1/2018 0:45,-0.365,Jackson
1/1/2018 1:00,-0.549,Jackson
1/1/2018 1:15,-0.68,Jackson
1/1/2018 1:30,-0.694,Jackson
1/1/2018 1:45,-0.713,Jackson
1/1/2018 2:00,-0.761,Jackson
1/1/2018 2:15,-0.813,Jackson
1/1/2018 2:30,-0.848,Jackson
1/1/2018 2:45,-0.887,Jackson
1/1/2018 3:00,-0.931,Jackson
1/1/2018 3:15,-0.961,Jackson
1/1/2018 3:30,-1,Jackson
1/1/2018 3:45,-1.024,Jackson
1/1/2018 4:00,-1.047,Jackson
1/1/2018 4:15,-1.061,Jackson
1/1/2018 4:30,-1.071,Jackson
1/1/2018 4:45,-1.083,Jackson
1/1/2018 5:00,-1.094,Jackson
1/1/2018 5:15,-1.102,Jackson
1/1/2018 5:30,-1.107,Jackson
1/1/2018 5:45,-1.112,Jackson
1/1/2018 6:00,-1.124,Jackson
1/1/2018 6:15,-1.131,Jackson
1/1/2018 6:30,-1.129,Jackson
1/1/2018 6:45,-1.14,Jackson
1/1/2018 7:00,-1.137,Jackson
1/1/2018 7:15,-1.104,Jackson
1/1/2018 7:30,-1.058,Jackson
1/1/2018 7:45,-1.035,Jackson
1/1/2018 8:00,-1.013,Jackson
1/1/2018 8:15,-0.997,Jackson
1/1/2018 8:30,-1.004,Jackson
1/1/2018 8:45,-0.98,Jackson
1/1/2018 9:00,-0.932,Jackson
1/1/2018 9:15,-0.899,Jackson
1/1/2018 9:30,-0.863,Jackson
1/1/2018 9:45,-0.805,Jackson
1/1/2018 10:00,-0.763,Jackson
1/1/2018 10:15,-0.681,Jackson
1/1/2018 10:30,-0.563,Jackson
1/1/2018 10:45,-0.398,Jackson
1/1/2018 11:00,-0.231,Jackson
1/1/2018 11:15,-0.026,Jackson
1/1/2018 11:30,0.115,Jackson
1/1/2018 11:45,0.255,Jackson
1/1/2018 12:00,0.337,Jackson
1/1/2018 12:15,0.371,Jackson
1/1/2018 12:30,0.339,Jackson
1/1/2018 12:45,0.199,Jackson
1/1/2018 13:00,0.076,Jackson
